PING 10.0.0.10 (10.0.0.10) 56(84) bytes of data.
64 bytes from 10.0.0.10: icmp_req=1 ttl=64 time=245 ms
64 bytes from 10.0.0.10: icmp_req=2 ttl=64 time=124 ms
64 bytes from 10.0.0.10: icmp_req=3 ttl=64 time=81.4 ms
64 bytes from 10.0.0.10: icmp_req=4 ttl=64 time=68.7 ms
64 bytes from 10.0.0.10: icmp_req=5 ttl=64 time=119 ms
64 bytes from 10.0.0.10: icmp_req=7 ttl=64 time=42.6 ms
64 bytes from 10.0.0.10: icmp_req=8 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=9 ttl=64 time=44.5 ms
64 bytes from 10.0.0.10: icmp_req=10 ttl=64 time=43.7 ms
64 bytes from 10.0.0.10: icmp_req=11 ttl=64 time=44.1 ms
64 bytes from 10.0.0.10: icmp_req=12 ttl=64 time=44.2 ms
64 bytes from 10.0.0.10: icmp_req=13 ttl=64 time=43.1 ms
64 bytes from 10.0.0.10: icmp_req=14 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=15 ttl=64 time=43.7 ms
64 bytes from 10.0.0.10: icmp_req=16 ttl=64 time=44.3 ms
64 bytes from 10.0.0.10: icmp_req=17 ttl=64 time=42.8 ms
64 bytes from 10.0.0.10: icmp_req=18 ttl=64 time=44.0 ms
64 bytes from 10.0.0.10: icmp_req=19 ttl=64 time=43.4 ms
64 bytes from 10.0.0.10: icmp_req=20 ttl=64 time=42.2 ms
64 bytes from 10.0.0.10: icmp_req=21 ttl=64 time=41.7 ms
64 bytes from 10.0.0.10: icmp_req=22 ttl=64 time=42.0 ms
64 bytes from 10.0.0.10: icmp_req=23 ttl=64 time=42.0 ms
64 bytes from 10.0.0.10: icmp_req=24 ttl=64 time=43.4 ms
64 bytes from 10.0.0.10: icmp_req=25 ttl=64 time=42.2 ms
64 bytes from 10.0.0.10: icmp_req=26 ttl=64 time=41.3 ms
64 bytes from 10.0.0.10: icmp_req=27 ttl=64 time=42.2 ms
64 bytes from 10.0.0.10: icmp_req=28 ttl=64 time=44.8 ms
64 bytes from 10.0.0.10: icmp_req=29 ttl=64 time=43.2 ms
64 bytes from 10.0.0.10: icmp_req=30 ttl=64 time=43.0 ms
64 bytes from 10.0.0.10: icmp_req=31 ttl=64 time=44.1 ms
64 bytes from 10.0.0.10: icmp_req=32 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=33 ttl=64 time=43.9 ms
64 bytes from 10.0.0.10: icmp_req=34 ttl=64 time=43.5 ms
64 bytes from 10.0.0.10: icmp_req=35 ttl=64 time=42.5 ms
64 bytes from 10.0.0.10: icmp_req=36 ttl=64 time=43.3 ms
64 bytes from 10.0.0.10: icmp_req=37 ttl=64 time=43.0 ms
64 bytes from 10.0.0.10: icmp_req=38 ttl=64 time=44.5 ms
64 bytes from 10.0.0.10: icmp_req=39 ttl=64 time=41.5 ms
64 bytes from 10.0.0.10: icmp_req=40 ttl=64 time=43.0 ms
64 bytes from 10.0.0.10: icmp_req=41 ttl=64 time=42.7 ms
64 bytes from 10.0.0.10: icmp_req=42 ttl=64 time=43.9 ms
64 bytes from 10.0.0.10: icmp_req=43 ttl=64 time=44.6 ms
64 bytes from 10.0.0.10: icmp_req=44 ttl=64 time=43.4 ms
64 bytes from 10.0.0.10: icmp_req=45 ttl=64 time=43.5 ms
64 bytes from 10.0.0.10: icmp_req=46 ttl=64 time=43.1 ms
64 bytes from 10.0.0.10: icmp_req=47 ttl=64 time=43.7 ms
64 bytes from 10.0.0.10: icmp_req=48 ttl=64 time=42.9 ms
64 bytes from 10.0.0.10: icmp_req=49 ttl=64 time=43.3 ms
64 bytes from 10.0.0.10: icmp_req=50 ttl=64 time=43.1 ms
64 bytes from 10.0.0.10: icmp_req=51 ttl=64 time=42.6 ms
64 bytes from 10.0.0.10: icmp_req=52 ttl=64 time=42.0 ms
64 bytes from 10.0.0.10: icmp_req=53 ttl=64 time=45.8 ms
64 bytes from 10.0.0.10: icmp_req=54 ttl=64 time=44.1 ms
64 bytes from 10.0.0.10: icmp_req=55 ttl=64 time=44.2 ms
64 bytes from 10.0.0.10: icmp_req=56 ttl=64 time=43.9 ms
64 bytes from 10.0.0.10: icmp_req=57 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=58 ttl=64 time=43.5 ms
64 bytes from 10.0.0.10: icmp_req=59 ttl=64 time=42.3 ms
64 bytes from 10.0.0.10: icmp_req=60 ttl=64 time=44.9 ms
64 bytes from 10.0.0.10: icmp_req=61 ttl=64 time=44.2 ms
64 bytes from 10.0.0.10: icmp_req=62 ttl=64 time=44.4 ms
64 bytes from 10.0.0.10: icmp_req=63 ttl=64 time=44.1 ms
64 bytes from 10.0.0.10: icmp_req=64 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=65 ttl=64 time=44.6 ms
64 bytes from 10.0.0.10: icmp_req=66 ttl=64 time=43.1 ms
64 bytes from 10.0.0.10: icmp_req=67 ttl=64 time=44.3 ms
64 bytes from 10.0.0.10: icmp_req=68 ttl=64 time=44.2 ms
64 bytes from 10.0.0.10: icmp_req=69 ttl=64 time=42.5 ms
64 bytes from 10.0.0.10: icmp_req=70 ttl=64 time=43.2 ms
64 bytes from 10.0.0.10: icmp_req=71 ttl=64 time=44.4 ms
64 bytes from 10.0.0.10: icmp_req=72 ttl=64 time=44.1 ms
64 bytes from 10.0.0.10: icmp_req=73 ttl=64 time=44.1 ms
64 bytes from 10.0.0.10: icmp_req=74 ttl=64 time=43.9 ms
64 bytes from 10.0.0.10: icmp_req=75 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=76 ttl=64 time=43.7 ms
64 bytes from 10.0.0.10: icmp_req=77 ttl=64 time=43.4 ms
64 bytes from 10.0.0.10: icmp_req=78 ttl=64 time=42.7 ms
64 bytes from 10.0.0.10: icmp_req=79 ttl=64 time=44.4 ms
64 bytes from 10.0.0.10: icmp_req=80 ttl=64 time=43.0 ms
64 bytes from 10.0.0.10: icmp_req=81 ttl=64 time=43.0 ms
64 bytes from 10.0.0.10: icmp_req=82 ttl=64 time=43.6 ms
64 bytes from 10.0.0.10: icmp_req=83 ttl=64 time=42.2 ms
64 bytes from 10.0.0.10: icmp_req=84 ttl=64 time=43.1 ms
64 bytes from 10.0.0.10: icmp_req=85 ttl=64 time=41.8 ms
64 bytes from 10.0.0.10: icmp_req=86 ttl=64 time=41.6 ms
64 bytes from 10.0.0.10: icmp_req=87 ttl=64 time=41.8 ms
64 bytes from 10.0.0.10: icmp_req=88 ttl=64 time=42.1 ms
64 bytes from 10.0.0.10: icmp_req=89 ttl=64 time=43.0 ms
64 bytes from 10.0.0.10: icmp_req=90 ttl=64 time=44.3 ms
64 bytes from 10.0.0.10: icmp_req=91 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=92 ttl=64 time=42.2 ms
64 bytes from 10.0.0.10: icmp_req=93 ttl=64 time=43.7 ms
64 bytes from 10.0.0.10: icmp_req=94 ttl=64 time=44.2 ms
64 bytes from 10.0.0.10: icmp_req=95 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=96 ttl=64 time=43.6 ms
64 bytes from 10.0.0.10: icmp_req=97 ttl=64 time=42.9 ms
64 bytes from 10.0.0.10: icmp_req=98 ttl=64 time=43.1 ms
64 bytes from 10.0.0.10: icmp_req=99 ttl=64 time=45.0 ms
64 bytes from 10.0.0.10: icmp_req=100 ttl=64 time=43.2 ms
64 bytes from 10.0.0.10: icmp_req=101 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=102 ttl=64 time=43.6 ms
64 bytes from 10.0.0.10: icmp_req=103 ttl=64 time=44.8 ms
64 bytes from 10.0.0.10: icmp_req=104 ttl=64 time=44.4 ms
64 bytes from 10.0.0.10: icmp_req=105 ttl=64 time=44.6 ms
64 bytes from 10.0.0.10: icmp_req=106 ttl=64 time=43.9 ms
64 bytes from 10.0.0.10: icmp_req=107 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=108 ttl=64 time=45.1 ms
64 bytes from 10.0.0.10: icmp_req=109 ttl=64 time=44.3 ms
64 bytes from 10.0.0.10: icmp_req=110 ttl=64 time=44.1 ms
64 bytes from 10.0.0.10: icmp_req=111 ttl=64 time=43.8 ms
64 bytes from 10.0.0.10: icmp_req=112 ttl=64 time=43.5 ms
64 bytes from 10.0.0.10: icmp_req=113 ttl=64 time=45.5 ms
64 bytes from 10.0.0.10: icmp_req=114 ttl=64 time=44.4 ms
64 bytes from 10.0.0.10: icmp_req=115 ttl=64 time=45.4 ms
64 bytes from 10.0.0.10: icmp_req=116 ttl=64 time=44.3 ms
64 bytes from 10.0.0.10: icmp_req=117 ttl=64 time=43.7 ms
64 bytes from 10.0.0.10: icmp_req=118 ttl=64 time=41.8 ms
64 bytes from 10.0.0.10: icmp_req=119 ttl=64 time=43.1 ms
64 bytes from 10.0.0.10: icmp_req=120 ttl=64 time=44.1 ms
64 bytes from 10.0.0.10: icmp_req=121 ttl=64 time=45.1 ms
64 bytes from 10.0.0.10: icmp_req=122 ttl=64 time=44.3 ms
64 bytes from 10.0.0.10: icmp_req=123 ttl=64 time=44.5 ms
64 bytes from 10.0.0.10: icmp_req=124 ttl=64 time=43.1 ms
64 bytes from 10.0.0.10: icmp_req=125 ttl=64 time=44.1 ms
64 bytes from 10.0.0.10: icmp_req=126 ttl=64 time=44.0 ms
64 bytes from 10.0.0.10: icmp_req=127 ttl=64 time=45.2 ms
64 bytes from 10.0.0.10: icmp_req=128 ttl=64 time=43.4 ms
64 bytes from 10.0.0.10: icmp_req=129 ttl=64 time=45.1 ms
64 bytes from 10.0.0.10: icmp_req=130 ttl=64 time=43.2 ms
64 bytes from 10.0.0.10: icmp_req=131 ttl=64 time=44.3 ms
64 bytes from 10.0.0.10: icmp_req=132 ttl=64 time=44.4 ms
64 bytes from 10.0.0.10: icmp_req=133 ttl=64 time=43.6 ms
64 bytes from 10.0.0.10: icmp_req=134 ttl=64 time=44.7 ms
64 bytes from 10.0.0.10: icmp_req=135 ttl=64 time=43.6 ms
64 bytes from 10.0.0.10: icmp_req=136 ttl=64 time=41.8 ms
64 bytes from 10.0.0.10: icmp_req=137 ttl=64 time=43.2 ms
64 bytes from 10.0.0.10: icmp_req=138 ttl=64 time=45.8 ms
64 bytes from 10.0.0.10: icmp_req=139 ttl=64 time=45.1 ms
64 bytes from 10.0.0.10: icmp_req=140 ttl=64 time=44.5 ms
64 bytes from 10.0.0.10: icmp_req=141 ttl=64 time=42.4 ms
64 bytes from 10.0.0.10: icmp_req=142 ttl=64 time=42.8 ms
64 bytes from 10.0.0.10: icmp_req=143 ttl=64 time=44.4 ms
64 bytes from 10.0.0.10: icmp_req=144 ttl=64 time=44.3 ms
64 bytes from 10.0.0.10: icmp_req=145 ttl=64 time=43.2 ms
64 bytes from 10.0.0.10: icmp_req=146 ttl=64 time=43.4 ms
64 bytes from 10.0.0.10: icmp_req=147 ttl=64 time=43.0 ms
64 bytes from 10.0.0.10: icmp_req=148 ttl=64 time=43.3 ms
